"filename", "language", "pip requirements", "Python", "TypeScript", "Ignore", "Docker", "TypeScript JSX", "SCSS", "CSS", "JSON", "HTML", "JSON with Comments", "Properties", "comment", "blank", "total"
"d:\pd22\only-frontend\src\components\Auth\AuthForms.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 16, 105
"d:\pd22\only-frontend\src\components\Auth\AuthLayout.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 4, 36
"d:\pd22\only-frontend\src\components\Auth\AuthLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\pd22\only-frontend\src\components\Auth\LoginForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 5, 67
"d:\pd22\only-frontend\src\components\Auth\PasswordResetForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 11, 137
"d:\pd22\only-frontend\src\components\Auth\ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 7, 30
"d:\pd22\only-frontend\src\components\Auth\RegisterForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 6, 122
"d:\pd22\only-frontend\src\components\CodeBlock\CodeBlock.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 16
"d:\pd22\only-frontend\src\components\CodeBlock\CodeBlock.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\pd22\only-frontend\src\components\FavoriteButton\FavoriteButton.scss", "SCSS", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 10, 93
"d:\pd22\only-frontend\src\components\FavoriteButton\FavoriteButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 11, 17, 110
"d:\pd22\only-frontend\src\components\Footer\Footer.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 5, 36
"d:\pd22\only-frontend\src\components\Footer\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"d:\pd22\only-frontend\src\components\Header\Header.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 266, 0, 0, 0, 0, 0, 0, 45, 311
"d:\pd22\only-frontend\src\components\Header\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 2, 18, 162
"d:\pd22\only-frontend\src\components\Header\HeaderLinks\HeaderLeftLinks\HeaderLeftLinks.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 5, 38
